Font Name,Foundry/Creator,Price,Styles
Gentona,Rene Bieder,$25.00,20
Torus,Paulo Goode,$20.00,6
Carnac,Hoftype,$49.00,16
Quiche Sans,Adam Ladd,$22.00,14
Populaire,PintassilgoPrints,$29.00,2
Minion® Pro,Adobe,$35.00,64
Hanley Pro,District 62 Studio,$5.00,15
ITC Clearface®,ITC,$35.00,16
Isidora Sans,Latinotype,$26.00,28
White Oleander,Nicky Laatz ,$20.00,4
Baro,Indian Type Foundry,$50.00,7
Cabrito Contrast™,insigne,$29.99,54
Kommon Grotesk,TypeK,$39.00,96
Mikado,HVD Fonts,$30.00,13
Fineday,Mika Melvas,$29.00,4
Isidora,Latinotype,$26.00,28
DIN 2014,ParaType,$47.00,18
Veneer,Yellow Design Studio,$15.00,8
Zooja™,Aerotype,$28.00,7
Kepler™,Adobe,$29.00,168
Sofa Serif Hand™,FaceType,$9.00,25
Begum,Indian Type Foundry,$39.00,10
Cocogoose Pro,Zetafonts,$15.00,17
Lifehack,DearType,$20.00,11
Voga,North Type,$35.00,3
Effra,Dalton Maag,$21.50,10
Bourton,Kimmy Design,$5.00,34
Limon,Typesenses,$19.00,16
TT Firs Neue,TypeType,$44.00,18
Geller,Ludka Biniek,$29.00,20
FF Dax®,FontFont,$49.00,72
Dallas Print Shop,Fenotype,$20.00,8
Magnite,Tom Chalky,$12.00,4
Moret™,The Northern Block Ltd,$25.95,10
Sabon®,Linotype,$35.00,4
Black Diamond,Set Sail Studios,$16.00,1
Termina,Fort Foundry,$35.00,9
Config,Adam Ladd,$24.00,41
FF Chartwell®,FontFont,$25.00,19
Sweet Sans Pro™,Sweet,$79.00,12
Eastville Square,Cindy Kinash,$12.00,9
Eveleth,Yellow Design Studio,$20.00,16
Creighton Pro™,Red Rooster Collection,$60.00,12
Vanitas™,Reserves,$49.00,8
Glober™,Fontfabric,$29.00,18
Freight Sans™,GarageFonts,$239.00,20
Sonny Gothic Vol 2,W Foundry,$25.00,18
Freight Sans Pro™,GarageFonts,$45.00,12
Boston,Latinotype,$29.00,16
Bourgeois,Barnbrook Fonts,$75.00,24
URW DIN™,URW,$19.95,48
FF Meta® Serif,FontFont,$69.00,24
